id,age,count
726,-8,59
726,-7,47
726,-6,71
726,-5,83
726,-4,166
726,-3,402
726,-2,260
726,-1,107
730,-20,43
730,-19,303
730,-18,303
730,-17,260
730,-16,173
730,-15,519
730,-14,43
730,-13,303
730,-12,87
730,-11,562
730,-10,173
730,-9,87
730,-8,130
730,-7,43
730,-6,260
730,-5,433
730,-4,260
730,-3,649
730,-2,519
730,-1,346
731,-19,46
731,-18,23
731,-17,35
731,-16,23
731,-15,35
731,-12,69
731,-11,116
731,-10,46
731,-9,46
731,-7,12
731,-6,23
731,-5,104
731,-4,58
731,-3,173
731,-2,116
731,-1,69
733,-20,29
733,-19,140
733,-18,96
733,-17,88
733,-16,66
733,-15,52
733,-14,59
733,-13,74
733,-12,88
733,-11,177
733,-10,96
733,-9,199
733,-8,74
733,-7,103
733,-6,81
733,-5,258
733,-4,236
733,-3,427
733,-2,339
733,-1,199
734,-19,589
734,-18,252
734,-17,378
734,-16,126
734,-15,210
734,-14,378
734,-13,210
734,-12,168
734,-11,547
734,-10,420
734,-9,463
734,-8,168
734,-7,420
734,-6,252
734,-5,1346
734,-4,925
734,-3,1724
734,-2,1430
734,-1,631
737,-20,39
737,-19,234
737,-18,104
737,-17,104
737,-16,156
737,-15,78
737,-14,26
737,-13,117
737,-12,143
737,-11,208
737,-10,156
737,-9,78
737,-8,143
737,-7,91
737,-6,52
737,-5,234
737,-4,169
737,-3,403
737,-2,533
737,-1,338
738,-19,309
738,-18,88
738,-17,132
738,-16,88
738,-15,44
738,-14,88
738,-13,486
738,-12,44
738,-11,353
738,-10,353
738,-9,309
738,-8,397
738,-7,442
738,-6,309
738,-5,442
738,-4,442
738,-3,1590
738,-2,1060
738,-1,1590
748,-19,143
748,-18,285
748,-17,200
748,-16,114
748,-15,57
748,-14,86
748,-13,86
748,-12,114
748,-11,171
748,-10,713
748,-9,314
748,-8,86
748,-7,29
748,-6,143
748,-5,171
748,-4,171
748,-3,257
748,-2,342
748,-1,399
753,-19,51
753,-18,36
753,-17,73
753,-16,44
753,-15,22
753,-13,87
753,-12,29
753,-11,94
753,-10,22
753,-9,36
753,-8,29
753,-7,7
753,-6,7
753,-5,94
753,-4,145
753,-3,102
753,-2,102
753,-1,160
754,-19,260
754,-18,115
754,-17,144
754,-16,144
754,-13,29
754,-12,260
754,-11,260
754,-10,231
754,-9,58
754,-8,144
754,-7,58
754,-6,144
754,-5,87
754,-4,231
754,-3,462
754,-2,664
754,-1,346
760,-19,127
760,-18,56
760,-17,42
760,-16,141
760,-15,42
760,-14,71
760,-13,141
760,-12,113
760,-11,99
760,-10,85
760,-9,141
760,-8,56
760,-7,99
760,-6,71
760,-5,42
760,-4,113
760,-3,367
760,-2,367
760,-1,127
774,-19,14
774,-18,28
774,-17,28
774,-15,69
774,-14,35
774,-13,49
774,-12,83
774,-11,90
774,-10,76
774,-9,90
774,-8,21
774,-7,14
774,-6,35
774,-5,104
774,-4,104
774,-3,208
774,-2,118
774,-1,90
792,-20,57
792,-19,190
792,-18,152
792,-17,152
792,-16,323
792,-15,171
792,-14,57
792,-13,133
792,-12,114
792,-11,304
792,-10,133
792,-9,114
792,-8,190
792,-7,114
792,-6,209
792,-5,247
792,-4,437
792,-3,741
792,-2,816
792,-1,342
798,-19,41
798,-18,95
798,-17,81
798,-16,27
798,-15,54
798,-14,68
798,-13,27
798,-12,135
798,-11,95
798,-10,81
798,-9,27
798,-8,135
798,-7,54
798,-6,14
798,-5,68
798,-4,122
798,-3,352
798,-2,190
798,-1,108
809,-20,74
809,-19,136
809,-18,25
809,-17,111
809,-16,62
809,-15,49
809,-14,12
809,-13,62
809,-12,74
809,-11,111
809,-10,62
809,-9,99
809,-8,49
809,-7,37
809,-6,49
809,-5,197
809,-4,197
809,-3,247
809,-2,185
809,-1,160
849,-20,901
849,-19,3224
849,-18,1213
849,-17,1040
849,-16,1699
849,-15,485
849,-14,589
849,-13,797
849,-12,1595
849,-11,1318
849,-10,1283
849,-9,763
849,-8,624
849,-7,381
849,-6,659
849,-5,1318
849,-4,1318
849,-3,3640
849,-2,2600
849,-1,1213
850,-20,25
850,-19,66
850,-18,83
850,-17,42
850,-16,75
850,-15,83
850,-13,17
850,-12,33
850,-11,141
850,-10,141
850,-9,100
850,-8,25
850,-7,25
850,-6,50
850,-5,75
850,-4,166
850,-3,249
850,-2,233
850,-1,141
863,-20,708
863,-19,7979
863,-18,2880
863,-17,2550
863,-16,2455
863,-15,2408
863,-14,1700
863,-13,2030
863,-12,2550
863,-11,5430
863,-10,4816
863,-9,2975
863,-8,3919
863,-7,1464
863,-6,1700
863,-5,2502
863,-4,2833
863,-3,5524
863,-2,4060
863,-1,3305
864,-19,11
864,-17,23
864,-16,11
864,-15,46
864,-10,11
864,-5,23
864,-3,11
864,-1,11
872,-19,86
872,-18,144
872,-17,115
872,-16,29
872,-15,58
872,-14,86
872,-13,29
872,-12,230
872,-11,29
872,-10,58
872,-9,86
872,-8,86
872,-7,29
872,-5,29
872,-4,259
872,-3,144
872,-1,115
881,-18,38496
881,-16,146
881,-15,170
881,-12,121
881,-11,73
881,-10,97
881,-9,146
881,-8,170
881,-5,16262
881,-4,73
881,-3,24
881,-2,49
881,-1,1092
